vert_mean,vert_std,vert_range,vert_skew,vert_kurt,ml_std,ml_rms,ml_range,yaw_std,yaw_abs_mean,step_count,cadence_spm,step_interval_cv,step_ac,stride_ac,gsi,jerk_std,jerk_max,_t_start_s,label,source,subject
-0.12258519889691144,1.8304814925351256,10.997653394992629,-0.11935430614010047,0.05998362122482659,1.4864463000197987,1.50239139988024,10.782765517626611,20.731113583151338,16.84750925760225,7,42.303172737955336,0.3995524290359716,0.6217532162722552,0.5457548740466946,1.139253620699791,0.569379033821513,2.8438900644901146,0.0,0,ours_long,ours
-0.0945558740275516,2.1499888368521276,11.129800530816189,-0.21918733866512993,-0.038185880752613865,1.7353163496376074,1.7422488364803062,11.41259146337897,22.533176045622234,18.313241989260973,12,72.36842105263158,0.39071415187634834,0.3422797395202853,0.3845155159277347,0.8901584600414743,0.7095577829958741,3.466558758666856,5.0,0,ours_long,ours
-0.058298870990752566,2.2915715357152826,12.40075775513618,-0.32378635691453345,0.005452934359914785,1.866167195577187,1.8698823486259895,12.253104390513792,24.172610372033354,19.254556861896198,14,86.66666666666667,0.24098050738238477,0.5653453620104704,0.5386269529206005,1.0496046641279173,0.8663180962779599,8.060187369284877,10.0,0,ours_long,ours
-0.10864973383456654,2.321965034568758,12.40075775513618,-0.3454881117852126,-0.18439209860146155,1.81147034929776,1.8152216624803825,11.98294052600539,25.35784118082124,20.225039198373228,14,81.58995815899581,0.2966620142420335,0.6380480120175844,0.43524933841834373,1.465936776230821,0.8690975439388586,8.060187369284877,15.0,0,ours_long,ours
-0.18090250771603678,2.3007622731091155,11.883738504026809,-0.3396262178672963,-0.33727234607457524,1.7668526177647996,1.7756472294089913,12.560772986543164,25.864070148421767,20.3277716336961,14,87.83783783783782,0.2915731701686746,0.5993650364672689,0.4353143533916821,1.3768556717632032,0.8345671083282225,6.704107408590752,20.0,0,ours_long,ours
-0.10931803337233575,2.421030355139229,12.497566108945572,-0.3829053032545184,-0.26255327212071844,2.0057399027543314,2.019147407264017,13.997670108778255,26.59266186841182,21.160565597512324,14,82.97872340425529,0.3498010816744375,0.640094194726619,0.6753408875777336,0.9478090346676106,0.8392059360655204,6.704107408590752,25.0,0,ours_long,ours
-0.10241066695524878,2.418412339397884,12.427679590855117,-0.2538684896403308,-0.17135680557228694,2.1401207797716455,2.149801606131697,14.807872725664886,25.972422865964212,20.541547484372458,14,82.80254777070063,0.3503249050428967,0.6435113343359312,0.5518359005201467,1.1661280712787505,0.8807353144451576,7.841342301306343,30.0,0,ours_long,ours
-0.05650059720919895,2.5170117436475103,13.960991789941612,-0.16865622923074974,0.10666753253268002,2.1059703868885276,2.110694527584706,14.59198404571331,25.658694274773932,20.599877124873828,15,89.36170212765956,0.29092195123637804,0.6953394252793219,0.6088133846221486,1.1421224349574286,0.9175257556341164,7.841342301306343,35.0,0,ours_long,ours
-0.12087508147271471,2.65552573678325,13.960991789941612,-0.13786743982508992,0.0806527595954174,2.053255021888001,2.056407929378704,14.347229094485659,25.622883004009335,20.620047555321484,15,88.98305084745762,0.21722043420298803,0.6869565408837025,0.583943197174635,1.1764098703563801,0.9271949214811785,6.124765856479558,40.0,0,ours_long,ours
-0.020812967752912415,2.698763193233787,14.818048768571934,-0.18418066409239023,0.23674042557931374,2.209573760824238,2.214505070006897,14.877931698289455,27.54849872815597,21.59076058182964,15,89.07741251325555,0.21831013952446773,0.6769338974558854,0.5553328347599333,1.21896969724205,0.9643506295007214,6.124765856479558,45.0,0,ours_long,ours
-0.056678515516109515,2.714093137881651,14.818048768571934,-0.20142415999110289,0.1289018370354662,2.2129842164853906,2.2169380534742786,14.801508839950984,27.150138243875563,21.639252283399127,14,83.15565031982943,0.42823714805925933,0.629966492962751,0.5451800308458414,1.15552011687839,1.0431889811984907,11.14684952296803,50.0,0,ours_long,ours
-0.12205407123431164,2.6935342875732426,14.574473921613832,-0.2153333487547814,0.03483271220119155,2.1003806586207614,2.1036597790711036,14.849605342282807,24.69297264464625,19.81118931133018,14,83.2443970117396,0.4289571293588344,0.6772814801991776,0.6649971790270309,1.0184727117040104,1.0741466728491773,11.14684952296803,55.0,0,ours_long,ours
-0.07223072398096216,2.706116654233357,14.846923081831786,-0.30406179295364066,0.1959353115512883,2.103392071898942,2.1083153433916015,14.849605342282807,24.702601038392334,19.729643665725,15,90.22556390977444,0.2209152192060741,0.6807651713955483,0.5805989126697277,1.1725222981648948,1.0712501493689495,9.87421129161098,60.0,0,ours_long,ours
-0.1636026998851442,2.712452318813345,14.846923081831786,-0.2633706019956463,0.14980942025505506,2.2138120045132137,2.217360800677675,14.83194243394902,26.12923188873705,20.591933267207207,14,89.75834292289987,0.22678787629136957,0.7248935085424273,0.6096519315120615,1.18902847850337,0.9996300820825796,9.87421129161098,65.0,0,ours_long,ours
-0.09934458335405755,2.75107601898293,14.433852608915835,-0.2416119611119167,0.098455036918637,2.2774608500316385,2.2802447278694657,14.09818120287552,27.205135210124507,21.28637372317726,15,88.8888888888889,0.25400572915750613,0.5869327713041996,0.4268164673716962,1.3751408771045963,0.9505515548124,5.727362153585066,70.0,0,ours_long,ours
