vert_mean,vert_std,vert_range,vert_skew,vert_kurt,ml_std,ml_rms,ml_range,yaw_std,yaw_abs_mean,step_count,cadence_spm,step_interval_cv,step_ac,stride_ac,gsi,jerk_std,jerk_max,label,subject
-0.13123433282776029,0.03606442630049733,0.8441120517406641,-15.673419096844269,317.50195059568455,0.01771203445499596,0.7348713022254332,0.1858464261290248,2.310338949616951,0.3174346896367447,0,0.0,0.0,0.06766728312131293,0.03369709256544669,0.0,0.02363619603825765,0.6298920792966431,0,H1
-0.12325711369593129,0.017544801034556638,0.11121030796105646,0.1431344378434978,0.09920899992985355,0.0178662461888812,0.7301803566857894,0.11163580160195008,0.17147722690045092,0.15646996000891772,0,0.0,0.0,0.32454095745773154,0.1586747689857992,2.0453217580343646,0.011816681534803983,0.03997467667946898,0,H1
-0.11696671212197163,0.017219536848000136,0.11285934798505251,0.04424539198054639,0.14855701777228436,0.016261292030604557,0.7232262647544438,0.1072500039191635,0.16089616561554992,0.15081508648344552,0,0.0,0.0,0.32607479292312025,0.16788157411101887,1.9422905381354678,0.01152136329751891,0.03997467667946898,0,H1
-0.11204547180930696,0.01605720967288483,0.10495958632094059,0.2187194437163895,-0.027010439560787525,0.015596225343363313,0.7204020065317966,0.1072500039191635,0.15541391924663336,0.15170151232660456,0,0.0,0.0,0.3474224430525493,0.235458901016403,1.4755120386310923,0.010784001643446664,0.03692393484560151,0,H1
-0.1034407727268758,0.017315009832278103,0.0979572503545386,0.029626536657737616,-0.3132885997788919,0.015735922810816764,0.7177675179002565,0.1110854626724419,0.14709279969665442,0.1410561317637284,0,0.0,0.0,0.38334811914907246,0.3682691609357215,1.0409454817640376,0.010946421925881255,0.03692393484560151,0,H1
-0.09517755638562728,0.01604368465914774,0.11744576562328163,0.024748252697121064,0.3722623029752663,0.015247081046635554,0.7131562233043687,0.10629054492037193,0.1460625901291637,0.14057804895925308,0,0.0,0.0,0.23423607212448525,0.21578048122757812,1.0855294732494478,0.010971041687526734,0.036368506675760096,0,H1
-0.09030847935267688,0.01586878301925243,0.11172672420121085,-0.04181916614239379,0.10701824789063696,0.016201518802087016,0.7050686354024992,0.09881459408389892,0.1552138683415857,0.14911907680416028,0,0.0,0.0,0.3521847239961874,0.12924007424938175,2.725042724105926,0.010848385397416957,0.0378277213535862,0,H1
-0.08481754427822134,0.015902276585788896,0.10662725555120632,-0.11475768711102649,0.02296898829414662,0.01732461580085406,0.6933618152181742,0.1092482245823937,0.15536150837745738,0.14729065758494,0,0.0,0.0,0.3646729338030794,0.17949019861673107,2.0317150274136844,0.010790329346749408,0.04232903669382111,0,H1
-0.08248669172706033,0.015963094224639686,0.10662725555120632,-0.0885344384413197,0.11988604508930223,0.015802295185041757,0.6875527309051738,0.1029484081483566,0.1621729112546539,0.1468750541035792,0,0.0,0.0,0.32705940691132657,0.15115364891802818,2.1637546248631647,0.010999636588253318,0.04232903669382111,0,H1
-0.07990280171792255,0.016274395598825316,0.11572273524617166,0.08561647353863024,0.09303097605559518,0.01692574619060069,0.6875392365037829,0.11080833423517988,0.1725610889002449,0.15534509127249413,0,0.0,0.0,0.31213145768770034,0.11256390773110157,2.772926633227197,0.011926990544167923,0.05996480498568335,0,H1
-0.07434639616188145,0.017711901178819663,0.12165866984783605,0.06211407598482953,-0.10094857662195844,0.019469386126791995,0.684081991547364,0.14164387012829216,0.17759874818466684,0.1630863695338752,0,0.0,0.0,0.20637398551109593,0.10398071475565775,1.984733284398459,0.012376583439812124,0.05996480498568335,0,H1
-0.061867515328428914,0.06883066141206347,1.1153136980870884,-0.05570574557893001,16.010605994337844,0.6508887386646218,0.7177040719774334,2.3900030899286504,4.601624009368415,1.2983418065772336,0,0.0,0.0,0.12137991821233132,-0.03230552844428573,0.0,0.0674715248028835,0.8958815276761081,0,H1
